animal_ID,exp. ID,date,water start,water end,ad lib start,ad lib end,,,,,,,,,,
AA01,Athena,09/05/2019,12:23,13:23,,,,,,,,,,,,
AA02,Athena,09/05/2019,12:23,13:23,,,,,,,,,,,,
DO01,Dammy,09/05/2019,12:23,13:23,,,,,,,,,,,,
DO02,Dammy,09/05/2019,12:23,13:23,,,,,,,,,,,,
SC01,Sharbat,09/05/2019,12:23,13:23,,,,,,,,,,,,
SC02,Sharbat,09/05/2019,12:23,13:23,,,,,,,,,,,,
VP01,Viktor,09/05/2019,12:23,13:23,,,,,,,,,,,,
VP02,Viktor,09/05/2019,12:23,13:23,,,,,,,,,,,,
AA03,Athena,09/05/2019,12:23,13:23,,,,,,,,,,,,
AA04,Athena,09/05/2019,12:23,13:23,,,,,,,,,,,,
DO03,Dammy,09/05/2019,12:23,13:23,,,,,,,,,,,,
DO04,Dammy,09/05/2019,12:23,13:23,,,,,,,,,,,,
SC03,Sharbat,09/05/2019,12:23,13:23,,,,,,,,,,,,
SC04,Sharbat,09/05/2019,15:30,16:30,,,,,,,,,,,,
VP03,Viktor,09/05/2019,15:30,16:30,,,,,,,,,,,,
VP04,Viktor,09/05/2019,15:30,16:30,,,,,,,,,,,,
AA05,Athena,09/05/2019,15:30,16:30,,,,,,,,,,,,
AA06,Athena,09/05/2019,15:30,16:30,,,,,,,,,,,,
DO05,Dammy,09/05/2019,15:30,16:30,,,,,,,,,,,,
DO06,Dammy,09/05/2019,15:30,16:30,,,,,,,,,,,,
SC05,Sharbat,09/05/2019,15:30,16:30,,,,,,,,,,,,
SC06,Sharbat,09/05/2019,15:30,16:30,,,,,,,,,,,,
VP05,Viktor,09/05/2019,15:30,16:30,,,,,,,,,,,,
VP06,Viktor,09/05/2019,15:30,16:30,,,,,,,,,,,,
AA07,Athena,09/05/2019,15:30,16:30,,,,,,,,,,,,
AA08,Athena,09/05/2019,16:53,17:53,,,,,,,,,,,,
DO07,Dammy,09/05/2019,16:53,17:53,,,,,,,,,,,,
DO08,Dammy,09/05/2019,16:53,17:53,,,,,,,,,,,,
VP07,Viktor,09/05/2019,16:53,17:53,,,,,,,,,,,,
VP08,Viktor,09/05/2019,16:53,17:53,,,,,,,,,,,,
AA01,Athena,09/05/2019,16:53,17:53,,,,,,,,,,,,
AA02,Athena,10/05/2019,10:58,11:58,,,,,,,,,,,,
DO01,Dammy,10/05/2019,10:58,11:58,,,,,,,,,,,,
DO02,Dammy,10/05/2019,10:58,11:58,,,,,,,,,,,,
